SYMBOL,DATE,OPEN,CLOSE,MIN,MAX,VOLUME
NVDA,2025-10-16,182.229995728,181.809997559,179.770004272,183.279998779,179723300
AVGO,2025-10-17,349.609985352,349.329986572,340.779998779,350.970001221,20937900
NVDA,2025-10-17,180.179992676,183.220001221,179.75,184.100006104,173135200
AVGO,2025-10-20,353.799987793,349.239990234,347.839996338,356.589996338,15640200
NVDA,2025-10-20,183.130004883,182.63999939,181.729995728,185.199996948,128544700
AVGO,2025-10-21,350,342.660003662,341.309997559,351.100006104,16092600
NVDA,2025-10-21,182.789993286,181.160003662,179.800003052,182.789993286,124240200
AVGO,2025-10-22,347.299987793,340.299987793,335.510009766,348.010009766,19268800
NVDA,2025-10-22,181.13999939,180.279998779,176.759994507,183.440002441,162249600
AVGO,2025-10-23,340.399993896,344.290008545,340.399993896,346.570007324,12859200
NVDA,2025-10-23,180.419998169,182.160003662,179.789993286,183.029998779,111363700
AVGO,2025-10-24,352.510009766,354.130004883,350.880004883,358.299987793,16143700
NVDA,2025-10-24,183.839996338,186.259994507,183.5,187.470001221,131296700
AVGO,2025-10-27,361.540008545,362.049987793,355.079986572,362.75,20065800
NVDA,2025-10-27,189.990005493,191.490005493,188.429992676,192,153452700
AVGO,2025-10-28,362.619995117,372.970001221,362.529998779,374.059997559,21056000
NVDA,2025-10-28,193.050003052,201.029998779,191.910003662,203.149993896,297986200
AVGO,2025-10-29,373.190002441,385.980010986,373.190002441,386.480010986,24975200
NVDA,2025-10-29,207.979995728,207.039993286,204.779998779,212.190002441,308829600
AVGO,2025-10-30,386.399993896,376.470001221,370.059997559,386.399993896,24295300
NVDA,2025-10-30,205.149993896,202.88999939,201.410003662,206.160003662,178864400
AVGO,2025-10-31,378.269989014,369.630004883,365.100006104,378.820007324,21598400
NVDA,2025-10-31,206.449996948,202.490005493,202.070007324,207.970001221,179802200
AVGO,2025-11-03,372,362.549987793,361.980010986,374.850006104,17198900
NVDA,2025-11-03,208.080001831,206.880004883,205.559997559,211.339996338,180267300
AVGO,2025-11-04,358.519989014,351.940002441,351,368.950012207,24047500
NVDA,2025-11-04,203,198.690002441,197.929992676,203.970001221,188919300
AVGO,2025-11-05,350.890014648,358.980010986,350.089996338,364.869995117,17087600
NVDA,2025-11-05,198.770004272,195.210006714,194.649993896,202.919998169,171350300
AVGO,2025-11-06,360.109985352,355.589996338,352.709991455,363.5,19896900
